Date,INR
11/22/1979,3189.70
11/23/1979,3167.60
11/26/1979,3172.00
11/27/1979,3178.70
11/28/1979,3250.60
11/29/1979,3286.50
11/30/1979,3310.30
12/3/1979,3392.30
12/4/1979,3520.00
12/5/1979,3473.00
12/6/1979,3513.10
12/7/1979,3512.50
12/10/1979,3521.20
12/11/1979,3583.40
12/12/1979,3648.80
12/13/1979,3701.60
12/14/1979,3714.00
12/17/1979,3739.70
12/18/1979,3832.30
12/19/1979,3988.00
12/20/1979,3863.10
12/21/1979,3839.10
12/24/1979,3831.70
12/25/1979,3831.70
12/26/1979,3831.70
12/27/1979,4033.70
12/28/1979,4106.50
12/31/1979,4189.60
1/1/1980,4189.60
1/2/1980,4438.90
1/3/1980,5023.00
1/4/1980,4742.20
1/7/1980,4985.10
1/8/1980,4852.80
1/9/1980,4746.40
1/10/1980,4832.60
1/11/1980,4851.20
1/14/1980,5113.90
1/15/1980,5385.80
1/16/1980,6066.60
1/17/1980,5751.90
1/18/1980,6496.20
1/21/1980,6710.00
1/22/1980,6074.50
1/23/1980,5166.90
1/24/1980,5661.00
1/25/1980,5533.20
1/28/1980,5066.10
1/29/1980,5432.20
1/30/1980,5616.60
1/31/1980,5329.60
2/1/1980,5385.30
2/4/1980,5330.70
2/5/1980,5243.80
2/6/1980,5467.30
2/7/1980,5560.20
2/8/1980,5443.80
2/11/1980,5636.60
2/12/1980,5567.60
2/13/1980,5475.30
2/14/1980,5405.70
2/15/1980,5352.20
2/18/1980,5260.20
2/19/1980,5292.90
2/20/1980,4980.60
2/21/1980,5138.40
2/22/1980,5138.10
2/25/1980,4992.90
2/26/1980,5092.10
2/27/1980,5022.30
2/28/1980,5097.40
2/29/1980,5138.10
3/3/1980,5159.60
3/4/1980,5137.20
3/5/1980,5200.40
3/6/1980,5144.00
3/7/1980,4893.20
3/10/1980,4909.20
3/11/1980,4616.10
3/12/1980,4709.70
3/13/1980,4667.50
3/14/1980,4093.90
3/17/1980,3933.40
3/18/1980,3844.20
3/19/1980,4181.70
3/20/1980,4553.70
3/21/1980,4367.80
3/24/1980,4441.00
3/25/1980,4474.40
3/26/1980,4272.90
3/27/1980,3975.00
3/28/1980,4010.50
3/31/1980,4155.40
4/1/1980,4239.40
4/2/1980,4064.90
4/3/1980,4037.10
4/4/1980,4037.10
4/7/1980,4037.10
4/8/1980,4211.70
4/9/1980,4425.40
4/10/1980,4354.70
4/11/1980,4296.40
4/14/1980,4289.70
4/15/1980,4016.30
4/16/1980,4108.50
4/17/1980,4118.00
4/18/1980,4127.00
4/21/1980,4095.70
4/22/1980,3964.20
4/23/1980,4010.00
4/24/1980,4089.50
4/25/1980,4369.90
4/28/1980,4230.50
4/29/1980,4084.80
4/30/1980,4155.20
5/1/1980,4060.10
5/2/1980,4065.50
5/5/1980,4065.50
5/6/1980,4089.60
5/7/1980,4035.00
5/8/1980,4060.30
5/9/1980,4062.00
5/12/1980,4027.60
5/13/1980,4041.10
5/14/1980,4089.70
5/15/1980,4061.30
5/16/1980,4089.80
5/19/1980,4071.60
5/20/1980,4029.40
5/21/1980,3987.80
5/22/1980,4115.70
5/23/1980,3968.60
5/26/1980,3968.60
5/27/1980,3915.40
5/28/1980,4075.70
5/29/1980,4068.40
5/30/1980,4152.30
6/2/1980,4419.70
6/3/1980,4407.80
6/4/1980,4478.80
6/5/1980,4573.10
6/6/1980,4606.80
6/9/1980,4897.80
6/10/1980,4756.90
6/11/1980,4676.60
6/12/1980,4617.20
6/13/1980,4768.50
